id_municipio,nome_municipio,sigla_uf,regiao,taxa_2023,taxa_2024,meta_2025,meta_2030,delta_observado,delta_projetado,projecao_2025,projecao_2026,projecao_2027,projecao_2028,projecao_2029,projecao_2030,atinge_meta_2025,atinge_meta_2030,gap_2030,ritmo_necessario_ate_2030,ritmo_projetado,classificacao_ritmo
2904407,Brejolândia,BA,Nordeste,41.09,40.43,53.46,80.0,-0.66,-0.78,39.77,39.2,38.72,38.32,37.97,37.68,0,0,-42.32,6.6,-0.78,Em retrocesso
2703700,Jaramataia,AL,Nordeste,36.05,40.27,49.67,80.0,4.22,5.44,44.89,48.82,52.17,55.0,57.42,59.47,0,0,-20.53,6.62,5.44,Ritmo insuficiente
2103307,Codó,MA,Nordeste,46.94,50.85,57.65,80.0,3.91,3.0,53.4,55.57,57.41,58.98,60.31,61.44,0,0,-18.56,4.86,3.0,Ritmo insuficiente
1702901,Axixá do Tocantins,TO,Norte,30.34,40.2,45.08,80.0,9.86,9.03,47.88,54.4,59.95,64.66,68.67,72.07,1,0,-7.93,6.63,9.03,No ritmo da meta
2515203,São Sebastião do Umbuzeiro,PB,Nordeste,94.99,69.29,80.0,80.0,-25.7,-10.29,60.54,53.11,46.79,41.42,36.85,32.97,0,0,-47.03,1.78,-10.29,Em retrocesso
3127057,Fronteira dos Vales,MG,Sudeste,37.26,58.66,50.6,80.0,21.4,16.86,72.99,85.17,95.53,100.0,100.0,100.0,1,1,20.0,3.56,16.86,No ritmo da meta
4305454,Cidreira,RS,Sul,42.82,28.2,,,-14.62,-17.29,13.5,1.01,0.0,0.0,0.0,0.0,0,0,,,-17.29,Em retrocesso
4307302,Erval Seco,RS,Sul,67.41,50.4,71.41,80.0,-17.01,-18.48,34.69,21.34,9.99,0.34,0.0,0.0,0,0,-80.0,4.93,-18.48,Em retrocesso
4120903,Quedas do Iguaçu,PR,Sul,71.7,62.11,74.27,80.0,-9.59,-5.66,57.3,53.21,49.73,46.78,44.27,42.13,0,0,-37.87,2.98,-5.66,Em retrocesso
3140308,Marliéria,MG,Sudeste,61.76,70.98,67.67,80.0,9.22,10.77,80.13,87.92,94.53,100.0,100.0,100.0,1,1,20.0,1.5,10.77,No ritmo da meta
2208874,Ribeira do Piauí,PI,Nordeste,57.75,54.84,65.01,80.0,-2.91,1.66,56.25,57.45,58.47,59.34,60.07,60.7,0,0,-19.3,4.19,1.66,Em retrocesso
2805901,Riachuelo,SE,Nordeste,11.32,31.48,25.46,80.0,20.16,13.43,42.9,52.6,60.85,67.86,73.82,78.88,1,0,-1.12,8.09,13.43,No ritmo da meta
2910107,Dom Basílio,BA,Nordeste,48.34,42.74,58.63,80.0,-5.6,-3.25,39.98,37.63,35.63,33.94,32.49,31.27,0,0,-48.73,6.21,-3.25,Em retrocesso
5215207,Novo Brasil,GO,Centro-Oeste,84.09,54.84,80.0,80.0,-29.25,-10.82,45.64,37.83,31.18,25.53,20.73,16.65,0,0,-63.35,4.19,-10.82,Em retrocesso
5200902,Amorinópolis,GO,Centro-Oeste,70.75,80.65,73.63,80.0,9.9,8.75,88.09,94.41,99.78,100.0,100.0,100.0,1,1,20.0,-0.11,8.75,No ritmo da meta
